Samsung,Samsung Galaxy Book Pro 360,Work,1269.99,Intel,i7,1165G7,4,2.8,8,512,Intel,Iris Xe Graphics,3,Windows 11,15.6,1920,1080,TRUE,3.13,7,7,5,6,https://www.bestbuy.ca/en-ca/product/samsung-galaxy-book-pro-360-15-6-2-in-1-laptop-navy-intel-evo-i7-1165g7-512gb-ssd-8gb-ram-win-11/15736355 
Dell,XPS,Work,3299.99,Intel,i7,11800H,4,2.3,16,1000,NVIDIA,GeForce RTX 3050 Ti,3,Windows 10,15.6,3456,2160,TRUE,4.52,8,9,7,10,https://www.bestbuy.ca/en-ca/product/dell-xps-15-6-touchscreen-laptop-white-intel-core-i7-11800h-1tb-ssd-16gb-ram-windows-10-english/15587757
Asus,ROG Strix Scar,gaming,2199.99,Intel,i7,12700H,8,2.3,16,1000,NVIDIA,GeForce RTX 3050 Ti,4,Windows 11,17.5,1920,1080,FALSE,6.39,9,8,8,7,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-scar-17-3-gaming-laptop-intel-core-i7-12700h-1tb-ssd-16gb-ram-rtx-nbsp-3060-windows-11-en/15992591
Apple,MacBook Pro,Work,2499.99,Apple,M1 Pro,M1 Pro,8,3.2,16,512,integrated,,4,macOS,14.0,3024,1964,FALSE,3.53,9,9,7,9,https://www.bestbuy.ca/en-ca/product/apple-macbook-pro-14-2021-space-grey-apple-m1-pro-chip-512gb-ssd-16gb-ram-english/15776877
Asus,ZenBook Pro,Work,4199.99,Intel,i9,11900H,8,2.5,32,1000,NVIDIA,GeForce RTX 3080 ,3,Windows 11,15.6,3840,2160,TRUE,5.2,9,9,9,10,https://www.bestbuy.ca/en-ca/product/asus-zenbook-pro-duo-oled-15-6-touchscreen-laptop-intel-i9-1tb-ssd-32gb-ram-rtx-3080-win11-pro-en/15795277
Alienware,X17 R1,Gaming,2799.00,Intel,i7, 11800H,8,4.6,32,1000,NVIDIA,GeForce RTX 3080,3,Windows 10,17.3,1920,1080,FALSE,6.65,7,8,9,7,https://www.bestbuy.ca/en-ca/product/alienware-x17-r1-17-fhd-360hz-nvidia-rtx-3080-i7-11800h-32gb-ram-1tb-ssd-win10-home-certified-refurbished/15798890
MSI,Pulse GL76,Gaming,2299.99,Intel,i7, 12700H,8,1.7,16,512,NVIDIA,GeForce RTX 3070,4,Windows 11,17.3,1920,1080,FALSE,5.73,7,8,7,7,https://www.bestbuy.ca/en-ca/product/msi-pulse-gl76-17-3-gaming-laptop-black-intel-core-i7-12700h-512gb-ssd-16gb-ram-rtx-3070-windows-11/15949727
Asus,ROG Zephyrus M16,Gaming,3299.99,Intel,i9,12900H,8,2.5,32,1000,NVIDIA,GeForce RTX 3070 Ti,4,Windows 11,16.0,2560,1600,FALSE,4.21,9,9,10,8,https://www.bestbuy.ca/en-ca/product/asus-rog-zephyrus-m16-16-gaming-laptop-intel-core-i9-12900h-1tb-ssd-32gb-ram-geforce-rtx-3070-ti-eng/15999429
Microsoft,Surface Laptop 4,Work,2049.99,Intel,i7,1185G7,4,1.8,16,512,Intel,Iris Plus graphics 950,2,Windows 10,13.5,2256,1504,TRUE,4.1,7,9,7,8,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-4-touchscreen-13-5-matte-black-intel-core-i7-1185g7-512gb-ssd-16gb-ram-eng/15395949
HP,OMEN,Gaming,2999.99,Intel,i9,11900H,8,4.9,32,1000,NVIDIA, GeForce RTX 3080,4,Windows 10,17.3,2560,1440,FALSE,6.13,8,8,9,8,https://www.bestbuy.ca/en-ca/product/hp-omen-17-3-gaming-laptop-shadow-black-intel-core-i9-11900h-1tb-ssd-32gb-ram-rtx-3080-windows-10/15657580
Dell,Alienware M15 R5,Gaming,15057.15,AMD,Ryzen 9,AMD Ryzen 9 5900HX,8,4.6,64,16000,NVIDIA,RTX 3070,4,Windows 11,15.0,1920,1080,FALSE,4.41,8,10,10,7,https://www.bestbuy.ca/en-ca/product/custom-dell-alienware-m15-r5-laptop-amd-ryzen-9-5900hx-64gb-ram-2x8tb-pcie-ssd-16tb-nvidia-rtx-3070-win-11-pro/15907163
